
2026-04-02,15:35:58,8
2026-04-02,15:36:03,74
2026-04-02,15:36:08,33
2026-04-02,15:36:13,45
2026-04-02,15:36:18,45
2026-04-02,15:36:23,47
2026-04-02,15:36:28,92
2026-04-02,15:36:33,49
2026-04-02,15:36:38,60
2026-04-02,15:36:43,85
2026-04-02,15:36:49,84
2026-04-02,15:36:54,33
2026-04-02,15:36:59,1
2026-04-02,15:37:04,89
2026-04-02,15:37:09,78
2026-04-02,15:37:14,16
2026-04-02,15:37:19,58
2026-04-02,15:37:24,4
2026-04-02,15:37:29,71
2026-04-02,15:37:34,43
2026-04-02,15:37:39,25
2026-04-02,15:37:44,15
2026-04-02,15:37:49,54
2026-04-02,15:37:54,11
2026-04-02,15:37:59,66
2026-04-02,15:38:04,37
2026-04-02,15:38:09,55
2026-04-02,15:38:14,16
2026-04-02,15:38:19,30
2026-04-02,15:38:24,80
2026-04-02,15:38:29,69
2026-04-02,15:38:34,90
2026-04-02,15:38:39,92
2026-04-02,15:38:44,89
2026-04-02,15:38:49,19
2026-04-02,15:38:54,31
2026-04-02,15:38:59,41
2026-04-02,15:39:04,26
2026-04-02,15:39:09,97
2026-04-02,15:39:14,78
2026-04-02,15:39:19,91
2026-04-02,15:39:24,31
2026-04-02,15:39:29,47
2026-04-02,15:39:35,71
2026-04-02,15:39:40,7
2026-04-02,15:39:45,28
2026-04-02,15:39:50,14
2026-04-02,15:39:55,72
2026-04-02,15:40:00,61
2026-04-02,15:40:05,62
2026-04-02,15:40:10,78
2026-04-02,15:40:15,55
2026-04-02,15:40:20,36
2026-04-02,15:40:25,65
2026-04-02,15:40:30,16
2026-04-02,15:40:35,33
2026-04-02,15:40:40,65
2026-04-02,15:40:45,25
2026-04-02,15:40:50,92
2026-04-02,15:40:55,39
2026-04-02,15:41:00,70
2026-04-02,15:41:05,97
2026-04-02,15:41:10,58
2026-04-02,15:41:15,82
2026-04-02,15:41:20,44
2026-04-02,15:41:25,62
2026-04-02,15:41:30,70
2026-04-02,15:41:35,97
2026-04-02,15:41:40,64
2026-04-02,15:41:45,71
2026-04-02,15:41:50,36
2026-04-02,15:41:55,42
2026-04-02,15:42:00,71
2026-04-02,15:42:05,94
2026-04-02,15:42:10,56
2026-04-02,15:42:15,12
2026-04-02,15:42:20,69
2026-04-02,15:42:25,10
2026-04-02,15:42:30,16
2026-04-02,15:42:35,7
2026-04-02,15:42:41,83
2026-04-02,15:42:46,37
2026-04-02,15:42:51,7
2026-04-02,15:42:56,72
2026-04-02,15:43:01,82
2026-04-02,15:43:06,87
2026-04-02,15:43:11,20
2026-04-02,15:43:16,70
2026-04-02,15:43:21,25
2026-04-02,15:43:26,91
2026-04-02,15:43:31,74
2026-04-02,15:43:36,27
2026-04-02,15:43:41,49
2026-04-02,15:43:46,78
2026-04-02,15:43:51,83
2026-04-02,15:43:56,56
2026-04-02,15:44:01,50
2026-04-02,15:44:06,53
2026-04-02,15:44:11,41
2026-04-02,15:44:16,26
2026-04-02,15:44:21,71
2026-04-02,15:44:26,14
2026-04-02,15:44:31,95
2026-04-02,15:44:36,86
2026-04-02,15:44:41,91
2026-04-02,15:44:46,65
2026-04-02,15:44:51,4
2026-04-02,15:44:56,25
2026-04-02,15:45:01,81
2026-04-02,15:45:06,76
2026-04-02,15:45:11,97
2026-04-02,15:45:17,59
2026-04-02,15:45:22,80
2026-04-02,15:45:27,36
2026-04-02,15:45:32,30
2026-04-02,15:45:37,91
2026-04-02,15:45:42,33
2026-04-02,15:45:47,96
2026-04-02,15:45:52,42
2026-04-02,15:45:57,86
2026-04-02,15:46:02,39
2026-04-02,15:46:07,87
2026-04-02,15:46:12,95
2026-04-02,15:46:17,1
2026-04-02,15:46:22,84
2026-04-02,15:46:27,8
2026-04-02,15:46:32,95
2026-04-02,15:46:37,34
2026-04-02,15:46:42,11
2026-04-02,15:46:47,82
2026-04-02,15:46:52,81
2026-04-02,15:46:57,75
2026-04-02,15:47:02,18
2026-04-02,15:47:07,97
2026-04-02,15:47:12,18
2026-04-02,15:47:17,81
2026-04-02,15:47:22,85
2026-04-02,15:47:27,20
2026-04-02,15:47:32,60
2026-04-02,15:47:37,98
2026-04-02,15:47:42,4
2026-04-02,15:47:47,78
2026-04-02,15:47:52,55
2026-04-02,15:47:58,75
2026-04-02,15:48:03,25
2026-04-02,15:48:08,44
2026-04-02,15:48:13,41
2026-04-02,15:48:18,67
2026-04-02,15:48:23,51
2026-04-02,15:48:28,42
2026-04-02,15:48:33,53
2026-04-02,15:48:38,87
2026-04-02,15:48:43,15
2026-04-02,15:48:48,95
2026-04-02,15:48:53,93
2026-04-02,15:48:58,75
2026-04-02,15:49:03,49
2026-04-02,15:49:08,88
2026-04-02,15:49:13,20
2026-04-02,15:49:18,19
2026-04-02,15:49:23,57
2026-04-02,15:49:28,57
2026-04-02,15:49:33,12
2026-04-02,15:49:38,97
2026-04-02,15:49:43,41
2026-04-02,15:49:48,95
2026-04-02,15:49:53,44
2026-04-02,15:49:58,6
2026-04-02,15:50:03,79
2026-04-02,15:50:08,36
2026-04-02,15:50:13,42
2026-04-02,15:50:18,89
2026-04-02,15:50:23,7
2026-04-02,15:50:28,51
2026-04-02,15:50:33,86
2026-04-02,15:50:38,5
2026-04-02,15:50:44,57
2026-04-02,15:50:49,48
2026-04-02,15:50:54,85
2026-04-02,15:50:59,28
2026-04-02,15:51:04,99
2026-04-02,15:51:09,19
2026-04-02,15:51:14,70
2026-04-02,15:51:19,54
2026-04-02,15:51:24,67
2026-04-02,15:51:29,73
2026-04-02,15:51:34,40
2026-04-02,15:51:39,19
2026-04-02,15:51:44,79
2026-04-02,15:51:49,86
2026-04-02,15:51:54,65
2026-04-02,15:51:59,29
2026-04-02,15:52:04,60
2026-04-02,15:52:09,57
2026-04-02,15:52:14,67
2026-04-02,15:52:19,22
2026-04-02,15:52:24,57
2026-04-02,15:52:29,10
2026-04-02,15:52:34,19
